Tony,1286172,100,110,60,100,
Lisa,1286172,60,60,100,20,
Mike,1286172,20,60,110,110,
andy,1286172,20,20,10,60,
yes,1286172,100,100,10,10,
mandy,1286172,60,10,20,100,
michael,1286172,20,110,100,20,
randy,1286172,20,60,60,110,
ronald,1286172,20,10,20,10,
fred,1286172,100,20,60,20,
frank,1286172,20,100,10,60,
fil,1286172,100,110,60,20,
phill,1286172,100,10,20,20,
geoff,1286172,20,100,60,100,
jeff,1286172,110,100,10,60,
mike,1286172,10,100,60,110,
lola,1286172,10,110,10,20,
lola,1286172,60,100,10,10,
pooil,1286172,20,100,10,100,
lkooo,1286172,110,110,20,20,
ujh,1286172,100,110,10,20,
geoff,1286172,10,60,100,20,
qwe,1286172,100,100,110,20,
asdx,1286172,60,110,10,100,
cvf,1286172,20,110,110,60,
sfht,1286172,20,20,100,10,
dvhyfd,1286172,110,60,20,10,
sdght,1286172,20,60,100,60,
dbhf,1286172,20,10,10,110,
dgjyr,1286172,110,100,20,100,
cbjd,1286172,10,110,110,20,
sfgfd,1286172,100,20,110,110,
fbgfd,1286172,20,110,10,10,
fhhjghj,1286172,20,100,60,20,
fgdsf,1286172,10,100,10,10,
sfgdg,1286172,20,110,20,110,
fg,1286172,20,10,20,20,
df,1286172,10,110,110,60,
gdf,1286172,60,100,110,60,
g,1286172,20,100,60,110,
gdf,1286172,10,10,60,20,
gfg,1286172,20,100,100,100,
nbf,1286172,60,100,60,110,
b,1286172,10,110,110,10,
cvf,1286172,100,100,20,60,
g,1286172,110,110,110,10,
b,1286172,60,60,10,20,
df,1286172,60,110,110,110,
fsg,1286172,100,100,60,10,
b,1286172,10,110,100,20,
b,1286172,60,10,100,20,
b,1286172,110,100,20,60,
b,1286172,10,60,10,20,
b,1286172,110,20,10,100,
b,1286172,100,110,110,60,
b,1286172,110,20,20,60,
b,1286172,110,60,60,20,
b,1286172,10,110,110,110,
b,1286172,10,20,60,20,
b,1286172,110,100,110,10,
b,1286172,110,100,20,10,
b,1286172,60,60,100,60,
b,1286172,60,20,10,100,
b,1286172,100,100,60,10,
b,1286172,20,110,60,60,
b,1286172,20,60,110,100,
b,1286172,110,20,60,10,
b,1286172,100,10,20,20,
b,1286172,60,20,10,100,
b,1286172,100,100,20,10,
b,1286172,10,20,20,10,
b,1286172,60,100,20,60,
b,1286172,100,10,100,10,
b,1286172,20,10,100,110,
b,1286172,110,20,60,100,
b,1286172,20,20,10,20,
b,1286172,20,10,110,100,
b,1286172,110,60,110,100,
b,1286172,60,10,100,110,
b,1286172,10,60,110,60,
b,1286172,100,60,60,60,
b,1286172,10,100,10,20,
b,1286172,10,20,110,60,
b,1286172,110,100,20,10,
b,1286172,60,100,20,110,
b,1286172,110,20,100,110,
b,1286172,100,20,110,100,
b,1286172,100,60,10,110,
b,1286172,60,60,20,20,
b,1286172,60,60,100,110,
b,1286172,100,60,100,100,
b,1286172,20,110,100,60,
b,1286172,10,60,20,100,
b,1286172,20,110,60,100,
b,1286172,60,110,110,110,
b,1286172,100,20,60,110,
b,1286172,100,110,20,110,
b,1286172,110,20,110,20,
b,1286172,60,20,10,110,
b,1286172,100,110,110,110,
